Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
2,NYC LAB MIDDLE SCHOOL - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,521,521.0,0.0,124.0,131.0,7.0,521.0
2,P.S. 89 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,18720,19334.0,3.28,182.0,125.0,-57.0,19334.0
2,I.S. 104 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transporte / movilidad,Design,Complete,90524,94457.0,-12.13,126.0,161.0,35.0,79543.0
2,P.S. 111 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,20160,14814.0,-26.52,183.0,113.0,-70.0,14814.0
2,I.S. 114 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Design,Complete,45750,111363.0,76.85,156.0,364.0,208.0,80911.0
2,P.S. 124 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,154300,247640.0,60.49,181.0,161.0,-20.0,247640.0
2,P.S. 124 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,771500,449392.0,-41.75,229.0,245.0,16.0,449392.0
2,P.S. 124 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,Complete,42000,53366.0,-71.83,137.0,141.0,4.0,11831.0
2,P.S. 126 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,279097,290155.0,3.96,141.0,79.0,-62.0,290155.0
2,P.S. 126 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,25403,10465.0,-58.8,179.0,45.0,-134.0,10465.0
2,P.S. 130 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,Complete,36000,52960.0,43.59,141.0,115.0,-26.0,51692.0
2,P.S. 158 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,30137,38340.0,27.22,133.0,387.0,254.0,38340.0
2,P.S. 158 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,145516,225920.0,30.01,188.0,272.0,84.0,189181.0
2,I.S. 167 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,31610,51774.0,0.78,144.0,225.0,81.0,31855.0
2,M169 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,301587,179754.0,-50.22,115.0,218.0,103.0,150125.0
2,P.S. 183 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Design,Complete,36000,58475.0,38.62,147.0,119.0,-28.0,49903.0
2,P.S. 183 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,Complete,30000,2836.0,-90.55,182.0,96.0,-86.0,2836.0
2,P.S. 290 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,291517,386048.0,25.79,152.0,65.0,-87.0,366697.0
2,P.S. 290 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,Complete,643687,234030.0,-97.52,154.0,323.0,169.0,15990.0
