Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
3,P.S. 165 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,52996,137044.0,158.59,274.0,274.0,0.0,137044.0
3,P.S. 165 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,82500,87854.0,1.75,141.0,188.0,47.0,83946.0
3,I.S. 862 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,9483,1171.0,-87.65,128.0,167.0,39.0,1171.0
3,P.S. 166 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,195014,274856.0,40.94,144.0,181.0,37.0,274856.0
3,P.S. 166 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,68750,159947.0,42.11,184.0,166.0,-18.0,97702.0
3,P.S. 166 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,2100,1819.0,-13.38,63.0,150.0,87.0,1819.0
3,P.S. 185 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,26831,13554.0,-49.48,176.0,98.0,-78.0,13554.0
3,P.S. 452 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,Complete,124270,127442.0,2.55,143.0,350.0,207.0,127433.0
3,P.S. 452 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,Complete,621350,356366.0,-52.85,175.0,243.0,68.0,292955.0
3,P.S. 452 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Otro,Scope,Complete,12427,12899.0,3.8,125.0,98.0,-27.0,12899.0
3,P.S. 452 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Otro,Design,Complete,55919,30720.0,-51.72,142.0,104.0,-38.0,26998.0
