Distrito Geografico,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada,Duración Proyectada,Desviación Presupuestaria
1,P.S. 140 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,149910,133293.0,101485.0,329.0,-32.3
1,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,9720000,10321594.0,7138602.0,629.0,-26.56
1,P.S. 142 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,604800,494522.0,449493.0,629.0,-25.68
1,UNIVERSITY NEIGHBORHOOD HS - M,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS / PARAPETS / ROOFS,Design,In-Progress,720869,720869.0,28699.0,154.0,-96.02
2,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,Construction,In-Progress,28023750,32377844.0,25501579.0,729.0,-9.0
2,P.S. 1 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / WINDOWS / EXTERIOR MASONRY / ROOF,"CM,F&E",In-Progress,1743699,2256085.0,2133432.0,729.0,22.35
2,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,Construction,In-Progress,11930288,10665990.0,6430896.0,729.0,-46.1
2,P.S. 2 - MANHATTAN,SCA CIP,WINDOWS / ROOFS / PARAPETS / SECURITY LIGHTING,"CM,F&E",In-Progress,850799,55085.0,54870.0,729.0,-93.55
2,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,235742,221652.0,8443.0,299.0,-96.42
2,P.S. 3 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,72482,54237.0,32288.0,299.0,-55.45
2,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,In-Progress,887607,549068.0,460949.0,274.0,-48.07
2,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY21 RESO A LIBRARY UPGRADE / PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",In-Progress,201380,225541.0,142394.0,274.0,-29.29
2,P.S. 33 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS PLAYGROUND SAFETY SURFACE,Construction,In-Progress,4158625,3864692.0,3185214.0,729.0,-23.41
2,P.S. 33 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / ROOFS PLAYGROUND SAFETY SURFACE,"CM,F&E",In-Progress,288851,662021.0,644892.0,729.0,123.26
2,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,348863,311134.0,2283.0,299.0,-99.35
2,P.S. 33 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,102777,79102.0,13121.0,299.0,-87.23
2,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Construction,In-Progress,35935875,32552762.0,7105683.0,909.0,-80.23
2,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,"CM,F&E",In-Progress,2237013,211198.0,211198.0,909.0,-90.56
2,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Construction,In-Progress,643305,595403.0,327835.0,364.0,-49.04
2,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,"CM,F&E",In-Progress,43862,64832.0,56273.0,364.0,28.3
2,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Construction,In-Progress,834386,713992.0,310616.0,274.0,-62.77
