Distrito Geografico,ID Edificio,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Fecha de Inicio,Fecha de Fin Proyectada,Fecha de Fin Real,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada
31,R055,P.S. 55 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/15/2021,9/15/2021,7/2/2021,84190,108145.0,108145.0
31,R055,P.S. 55 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/8/2021,12/9/2021,3/31/2022,420950,572335.0,481061.0
31,R056,P.S. 56 - STATEN ISLAND,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/30/2022,11/16/2022,10/26/2022,84240,142824.0,122370.0
31,R056,P.S. 56 - STATEN ISLAND,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,11/9/2022,4/14/2023,4/4/2023,421199,439772.0,393144.0
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,2/11/2022,6/28/2022,10/17/2022,142100,164681.0,161049.0
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,11/4/2022,4/26/2023,5/10/2023,710500,525201.0,458919.0
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Design,Complete,6/29/2022,12/13/2022,11/22/2022,76804,92980.0,82133.0
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,Complete,5/31/2023,4/24/2024,4/24/2024,1126464,1095817.0,736179.0
31,R057,P.S. 57 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,"CM,F&E",Complete,5/31/2023,4/24/2024,4/24/2024,76804,101663.0,100547.0
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Design,Complete,8/9/2022,12/27/2022,12/1/2022,30138,53848.0,52728.0
